id;numvoie;typevoie;libvoie;cp;commune
PC07229421Z000201-2;8;;ROUTE DU GASSEAU;72130;SAINT LEONARD DES BOIS
PC07229721Z0002-0;15;RUE;AUVRAY;72000;LE MANS
PC07229721Z0002-1;15;RUE;Auvray;72000;LE MANS
PC07229721Z0002-2;;;LE VIGNARD;72170;SAINT MARCEAU
PC07229721Z0003-0;;;LA JOUVINIERE;72170;LE TRONCHET
PC07229721Z0003-2;;;GRAND PRE DES FORGES;72170;SAINT MARCEAU
PC07229721Z0004-0;13;ROUTE;DE MARESCHE;72170;SAINT-MARCEAU
PC07229721Z0004-1;8;RUE;Fremont;76130;MONT SAINT AIGNAN
PC07229721Z0004-2;;;L EPINAY;72170;SAINT MARCEAU
PC07229920Z0023-0;6;;AVENUE DE TOULOUSE;72000;LE MANS
PC07229920Z0023-2;;;LA PELOUSE;72220;SAINT MARS D'OUTILLE
PC07229921Z0020-0;;;LE PERRAY;72250;CHALLES
PC07229921Z0020-2;;;CHAMP DU SABLON  LOT 1;72220;SAINT MARS D'OUTILLE
PC07229921Z0021-0;79;;RESIDENCE DES TAILLIS;72250;PARIGNE L'EVEQUE
PC07229921Z0021-2;15;;ROUTE DE LA GRASSINIERE;72220;SAINT MARS D'OUTILLE
PC07229921Z0022-0;1994;;ROUTE DES PLOUZIERES;72560;CHANGE
PC07229921Z0022-2;8;;RUE CLEMENT MAUDET;72220;SAINT MARS D'OUTILLE
PC07230021Z0010-0;625;ROUTE;de la Chesnaie;72470;SAINT-MARS-LA-BRIERE
PC07230021Z0010-2;625;ROUTE;de la Chesnaie;72470;SAINT MARS LA BRIERE
PC07230021Z0012-0;4823;ROUTE;des Loudonneaux;72470;SAINT-MARS-LA-BRIERE
PC07230021Z0012-2;4823;ROUTE;Des Loudonneaux;72470;SAINT MARS LA BRIERE
PC07230321Z0003-0;3;;La Borde Trudeau;72440;Saint-Michel-de-Chavaignes
PC07230321Z0003-2;3;;La Borde Trudeau;72440;SAINT MICHEL DE CHAVAIGNES
PC07230321Z0004-0;;LIEU-;LE CHAMP DU BROUSSIL;72440;SAINT MICHEL DE CHAVAIGNES
PC07230321Z0004-2;;LIEU-;LE CHAMP DU BROUSSIL;72440;SAINT MICHEL DE CHAVAIGNES
PC07230521Z0004-0;7;RUE;DES PATURES;72130;SAINT OUEN DE MIMBRE
PC07230521Z0004-2;7;RUE;DES PATURES;72130;SAINT OUEN DE MIMBRE
PC07230521Z0008-0;7;;PASSAGE DU LAVOIR;72130;SAINT OUEN DE MIMBRE
PC07230521Z0008-2;16;;RUE DU GUE;72130;SAINT OUEN DE MIMBRE
PC07230621Z0011-0;17;ROUTE;DE CHATEAU L HERMITAGE;72220;SAINT OUEN EN BELIN
PC07230621Z0011-2;17;ROUTE;DE CHATEAU L'HERMITAGE;72220;SAINT OUEN EN BELIN
PC07230921Z0002-1;2;LIEU-;LE ROUSSELET;72130;SAINT PAUL LE GAULTIER
PC07230921Z0002-2;;;LE ROUSSELET;72130;SAINT PAUL LE GAULTIER
PC07230921Z0006-0;26;RUE;de Villaines-la-Juhel;72130;SAINT PAUL-LE-GAULTIER
PC07230921Z0006-1;20;PLACE;du Centre;22340;LOCARN
PC07230921Z0006-2;;;LA MERE DIEU;72130;SAINT PAUL LE GAULTIER
PC07231021Z0009-0;10;ROUTE;de Bougeance;72190;SAINT-PAVACE
PC07231021Z0009-2;10;;ROUTE DE BOUGEANCE;72190;SAINT PAVACE
PC07231021Z0011-0;2;ALLEE;DU PETIT VIGNARD;72190;SAINT PAVACE
PC07231021Z0011-2;3;IMPAS;DES CHAMPS;72190;SAINT PAVACE
PC07231021Z0012-0;;;35 rue DE LA RIVIERE;72190;SAINT PAVACE
PC07231021Z0012-2;35;;RUE DE LA RIVIERE;72190;SAINT PAVACE
PC07231021Z0013-0;2;RUE;DU TAILLIS;72000;LE MANS
PC07231021Z0013-2;16;ROUTE;DE LA GUIERCHE;72190;SAINT PAVACE
PC07231521Z0004-0;15;RUE;DES CHATAIGNIERS;72140;SAINT REMY DE SILLE
PC07231521Z0004-2;7;;ZA DES JARDINIERS;72140;SAINT REMY DE SILLE
PC07231521Z0007-0;12 BI;ROUTE;DU MANS;72140;SAINT REMY DE SILLE
PC07231521Z0007-1;12 BI;ROUTE;DU MANS;72140;SAINT REMY DE SILLE
PC07231521Z0007-2;0007;;RUE DES TILLEULS;;SAINT REMY DE SILLE
PC07232121Z0005-0;5;IMPAS;DU PRE LONG;72240;SAINT-SYMPHORINE
PC07232121Z0005-1;;RUE;DE LA TANNERIE;72540;EPINEU LE CHEVREUIL
PC07232121Z0005-2;5;;IMPASSE DU PRE LONG;72240;SAINT SYMPHORIEN
PC07232121Z0006-0;;;LE MONT PORCHER;72240;SAINT-SYMPHORIEN
PC07232121Z0006-2;;;LE MONT PORCHER;72240;SAINT SYMPHORIEN
PC07232921Z0019-0;;;17 RUE DES CHARDONS;72460;SAVIGNE L'EVEQUE
PC07232921Z0019-2;17;RUE;DES CHARDONS;72460;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0032-0;;;20 CHEMIN DU FEU;72460;SAVIGNE L'EVEQUE
PC07232921Z0032-2;;;6 RUE JOSEPHINE BAKER -LOT;72460;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0034-0;;;7 RUE DES CHAMPS;72230;ARNAGE
PC07232921Z0034-2;;;8 RUE GISELE HALIMI - LOT;72460;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0035-0;78;RUE;DE BONNETABLE;72000;LE MANS
PC07232921Z0035-2;18;RUE;JOSEPHINE BAKER;72460;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0036-0;10;;RUE DE MORTEVEILLE;72460;SAVIGNE-L'EVEQUE
PC07232921Z0036-2;;;LES TERTRES;;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0037-0;52;;grande rue;72460;saint corneille
PC07232921Z0037-1;52;;GRANDE RUE;72460;SAINT CORNEILLE
PC07232921Z0037-2;10;;RUE GISELE HALIMI;72460;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0039-0;8;;RUE DE MORTEVEILLE;72460;SAVIGNE-L'EVEQUE
PC07232921Z0039-2;1;;CHEMIN DE NUYET;72460;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0040-0;;;LES ROSEAUX;72460;SAVIGNE-L'EVEQUE
PC07232921Z0040-2;33;;RUE DIVISION LECLERC;72460;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0041-0;32;;RUE DE LA SOLITUDE;72000;LE MANS
PC07232921Z0041-2;24;;RUE JOSEPHINE BAKER;72460;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0042-0;16;;PLACE D'ARMES;72110;BONNETABLE
PC07232921Z0042-2;8;;RUE JOSEPHINE BAKER;72460;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0043-0;;;9 ROUTE DE MADOREAU;85520;JARD SUR MER
PC07232921Z0043-2;;;10 RUE JOSEPHINE BAKER;72460;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0044-0;;;10 RUE DES JONQUILLES;72460;SAINT CORNEILLE
PC07232921Z0044-2;9;;CHEMIN DE NUYET;72460;SAVIGNÉ-L'ÉVÊQUE
PC07232921Z0045-0;;;62 RUE DE PARENCE;72530;YVRE L'EVEQUE
PC07232921Z0045-2;;;6 RUE MARIE CURIE;72460;SAVIGNÉ-L'ÉVÊQUE
PC07233420Z0001-0;;;La Behardière;53150;BREE
PC07233420Z0001-2;1209;ROUTE;ROUTE DE SILLE PLAGE;;SILLE LE GUILLAUME
PC07233421Z0004-0;3;ALLEE;DE LA BROSSE;72140;SILLE LE GUILLAUME
PC07233421Z0004-2;3;ALLEE;DE LA BROSSE;72140;SILLE LE GUILLAUME
PC07233421Z0005-0;;;La Chollerie;72140;PARENNES
PC07233421Z0005-2;17;;RUE DE SABLE;72140;SILLE LE GUILLAUME
PC07233421Z0008-0;5;;GRANDE RUE;72140;SILLE LE GUILLAUME
PC07233421Z0008-2;5;;GRANDE RUE;72140;SILLE LE GUILLAUME
PC07233421Z0009-0;1;ALLEE;de la Petite Landrière;72560;CHANGÉ
PC07233421Z0009-2;17 BI;RUE;DE SABLÉ;72140;SILLE LE GUILLAUME
PC07233521Z0010-0;;;Le Petit Mortier Charmant;72460;SILLE LE PHILIPPE
PC07233521Z0010-2;;;Le Petit Mortier Charmant;72460;SILLÉ LE PHILIPPE
PC07233521Z0011-0;18;RUE;de la Liberté;72460;SILLE LE PHILIPPE
PC07233521Z0011-2;18;;RUE DE LA LIBERTE;;SILLÉ LE PHILIPPE
