id;numvoie;typevoie;libvoie;cp;commune;result_housenumber;result_name;result_postcode;result_city;latitude;longitude;result_score
DP07214321Z0030-0;3;;Rue des Jardins;72150;LE GRAND-LUCE;3;Rue des Jardins;72150;Le Grand-Lucé;47.862283;0.473492;0.95
DP07214321Z0030-2;3;;RUE DES JARDINS;72150;LE GRAND LUCE;3;Rue des Jardins;72150;Le Grand-Lucé;47.862283;0.473492;0.95
DP07214321Z0033-0;3;CHEMI;de la Herse;72150;LE GRAND LUCE;3;Chemin de la Herse;72150;Le Grand-Lucé;47.861937;0.474326;0.87
DP07214321Z0033-2;;;LE BOIS DES BOULAS;72150;LE GRAND LUCE;;Rue des Bleuets;72150;Le Grand-Lucé;47.868891;0.464906;0.55
DP07214321Z0034-0;1552;;Route du Courbray;72150;LE GRAND-LUCE;1552;Route du Courbray;72150;Le Grand-Lucé;47.844535;0.51629;0.94
DP07214321Z0034-2;;;LA PETITE NOUE;72150;LE GRAND LUCE;;Rue de la Pointe;72150;Le Grand-Lucé;47.872872;0.445078;0.55
DP07214321Z0036-0;30;;RUE SAINT-VINCENT;72150;LE GRAND-LUCE;30;Rue Saint Vincent;72150;Le Grand-Lucé;47.858926;0.478031;0.95
DP07214321Z0036-2;30;;Rue Saint Vincent;72150;LE GRAND LUCE;30;Rue Saint Vincent;72150;Le Grand-Lucé;47.858926;0.478031;0.95
DP07214321Z0037-0;;;Le carrefour;72220;MARIGNE LAILLE;;Le Petit Carrefour;72220;Marigné-Laillé;47.825696;0.3505;0.77
DP07214321Z0037-2;33;;Rue du Pavois;72150;LE GRAND LUCE;33;Rue du Pavois;72150;Le Grand-Lucé;47.864422;0.45384;0.95
DP07214521Z0007-0;;;350 CHEM de paisy  Le Tron;69760;LIMONEST;;Chemin de Paisy;69760;Limonest;45.804448;4.77282;0.59
DP07214521Z0007-2;;;LE CHALET DU ROCHER;72140;LE GREZ;;Lieu Dit le Chalet du Rocher;72140;Le Grez;48.183069;-0.13728;0.71
DP07214521Z0008-0;26;ROUTE;D'HANTENAISE;72140;LE GREZ;26;Route d’Hantenaise;72140;Le Grez;48.181548;-0.147204;0.95
DP07214521Z0008-2;26;;ROUTE D HANTENAISE;72140;LE GREZ;26;Route d’Hantenaise;72140;Le Grez;48.181548;-0.147204;0.95
DP07214721Z0016-0;39;RUE;Principale;72380;LA GUIERCHE;39;Rue Principale;72380;La Guierche;48.1178;0.19411;0.96
DP07214721Z0016-2;39;RUE;Principale;72380;LA GUIERCHE;39;Rue Principale;72380;La Guierche;48.1178;0.19411;0.96
DP07214721Z0025-0;16;RUE;des Chênes;72380;LA GUIERCHE;16;Rue des Chenes;72380;La Guierche;48.110166;0.198283;0.95
DP07214721Z0025-2;16;RUE;des Chênes;72380;LA GUIERCHE;16;Rue des Chenes;72380;La Guierche;48.110166;0.198283;0.95
DP07214721Z0031-0;67;RUE;Principale;72380;LA GUIERCHE;67;Rue Principale;72380;La Guierche;48.122515;0.1967;0.96
DP07214721Z0031-2;;;Pré du Bourg Neuf;72380;LA GUIERCHE;;Pre du Mortier;72380;La Guierche;48.109408;0.19502;0.46
DP07214721Z0032-0;32 Bi;RUE;du Mans;72380;LA GUIERCHE;32;Rue du Mans;72380;La Guierche;48.112974;0.194245;0.86
DP07214721Z0032-2;32Bis;RUE;Rue du Mans;72380;LA GUIERCHE;;Rue du Mans;72380;La Guierche;48.110604;0.195166;0.67
DP07214721Z0033-0;10;RUE;de l'Epine;72380;LA GUIERCHE;10;Rue de l’Epine;72380;La Guierche;48.113775;0.200038;0.95
DP07214721Z0033-2;10;RUE;de l'Epine;72380;LA GUIERCHE;10;Rue de l’Epine;72380;La Guierche;48.113775;0.200038;0.95
DP07215021Z0024-0;47;ROUTE;des Chapuisières;72380;JOUE L'ABBE;;Route des Chapuisières;72380;Joué-l'Abbé;48.112407;0.215878;0.87
DP07215021Z0024-2;47;ROUTE;des Chapuisières;72380;JOUE L ABBE;;Route des Chapuisières;72380;Joué-l'Abbé;48.112407;0.215878;0.87
DP07215021Z0025-0;9;ROUTE;de Montreuil;72380;JOUE L'ABBE;9;Route de Montreuil;72380;Joué-l'Abbé;48.108294;0.214963;0.95
DP07215021Z0025-2;9;ROUTE;de Montreuil;72380;JOUE L ABBE;9;Route de Montreuil;72380;Joué-l'Abbé;48.108294;0.214963;0.95
DP07215521Z0036-0;4;PLACE;DE LA CHANTERIE;72220;LAIGNE EN BELIN;4;Place de la Chanterie;72220;Laigné-en-Belin;47.878388;0.22816;0.95
DP07215521Z0036-2;;;L ANGLICHERIE;72220;LAIGNE EN BELIN;;Rue de l’Etang;72220;Laigné-en-Belin;47.872324;0.22971;0.49
DP07215521Z0042-0;10;ROUTE;DES SAULES;72220;LAIGNE EN BELIN;10;Route des Saules;72220;Laigné-en-Belin;47.890327;0.240691;0.95
DP07215521Z0042-2;;;LE PATIS;72220;LAIGNE EN BELIN;;Le Petit Patis;72220;Laigné-en-Belin;47.852335;0.253444;0.75
DP07215521Z0043-0;12;RUE;DE LA COUDRAIE;72220;LAIGNE EN BELIN;12;Rue de la Coudraie;72220;Laigné-en-Belin;47.877864;0.23393;0.95
DP07215521Z0043-2;12;;RUE DE LA COUDRAIE;72220;LAIGNE EN BELIN;12;Rue de la Coudraie;72220;Laigné-en-Belin;47.877864;0.23393;0.95
DP07215521Z0044-0;56;RUE;HENRY ROQUET;72220;LAIGNE EN BELIN;56;Rue Henry Roquet;72220;Laigné-en-Belin;47.880342;0.238275;0.96
DP07215521Z0044-2;56;;RUE HENRY ROQUET;72220;LAIGNE EN BELIN;56;Rue Henry Roquet;72220;Laigné-en-Belin;47.880342;0.238275;0.96
DP07215521Z0045-0;12;BOULE;LEPRINCE RINGUET;72000;LE MANS;12;Boulevard Louis Leprince Ringuet;72000;Le Mans;48.017945;0.152024;0.72
